Type,Date,Time,open,high,low,close,
NIFTY,20210101,09:16,13997.9,14020.85,13991.35,14013.15,
NIFTY,20210101,09:17,14014.85,14018.55,14008.15,14009.05,
NIFTY,20210101,09:18,14008.05,14013.1,14005.05,14012.7,
NIFTY,20210101,09:19,14013.65,14019.1,14013.65,14016.2,
NIFTY,20210101,09:20,14015.45,14017.8,14011.95,14015.45,
NIFTY,20210101,09:21,14016,14021.75,14006.4,14020.75,
NIFTY,20210101,09:22,14020.7,14023.45,14018.7,14019.45,
NIFTY,20210101,09:23,14018.4,14021.05,14017.45,14019.45,
NIFTY,20210101,09:24,14020,14020,14007.6,14010.5,
NIFTY,20210101,09:25,14010.25,14014.1,14007.3,14014.1,
NIFTY,20210101,09:26,14014.3,14014.3,14006.75,14007.65,
NIFTY,20210101,09:27,14007.35,14012.95,14006.65,14011.8,
NIFTY,20210101,09:28,14012.4,14014.2,14011.5,14013.65,
NIFTY,20210101,09:29,14014.4,14019.6,14013.5,14018.5,
NIFTY,20210101,09:30,14017.95,14019.35,14014.65,14018.2,
NIFTY,20210101,09:31,14019,14028.9,14018.25,14025.5,
NIFTY,20210101,09:32,14026.3,14027.3,14022.9,14025.45,
NIFTY,20210101,09:33,14026.4,14026.55,14022.35,14023.6,
NIFTY,20210101,09:34,14023.1,14025.35,14020.7,14021.9,
NIFTY,20210101,09:35,14021.25,14022.8,14018.8,14020.1,
NIFTY,20210101,09:36,14020.5,14020.6,14015.2,14016.45,
NIFTY,20210101,09:37,14016.85,14018.85,14014,14018.3,
NIFTY,20210101,09:38,14007.95,14008,14001.15,14006.6,
NIFTY,20210101,09:39,14006.8,14017.7,14006.8,14016.95,
NIFTY,20210101,09:40,14016.9,14017.85,14014.3,14017.85,
NIFTY,20210101,09:41,14017.55,14019.85,14016.9,14018.65,
NIFTY,20210101,09:42,14019.75,14023.3,14018.4,14022.95,
NIFTY,20210101,09:43,14023.1,14025.45,14021.95,14021.95,
NIFTY,20210101,09:44,14022.75,14024.8,14021.7,14023.95,
NIFTY,20210101,09:45,14024.15,14026.7,14023.95,14023.95,
NIFTY,20210101,09:46,14025.05,14031.85,14024.35,14030.9,
NIFTY,20210101,09:47,14031.25,14032.2,14029,14030,
NIFTY,20210101,09:48,14031.4,14032.9,14029.45,14030.4,
NIFTY,20210101,09:49,14030.75,14032.5,14029.7,14030.75,
NIFTY,20210101,09:50,14031.2,14032,14029.6,14030.65,
NIFTY,20210101,09:51,14030.95,14030.95,14027.7,14027.7,
NIFTY,20210101,09:52,14028.25,14029.85,14027.8,14027.8,
NIFTY,20210101,09:53,14028.9,14030,14027.4,14028.65,
NIFTY,20210101,09:54,14028,14028.35,14025.2,14026.65,
NIFTY,20210101,09:55,14026.9,14027.7,14022.5,14024.05,
NIFTY,20210101,09:56,14024.55,14027.95,14023.7,14027.6,
NIFTY,20210101,09:57,14027.85,14031.6,14027,14031,
NIFTY,20210101,09:58,14031.4,14033.85,14029.75,14030.95,
NIFTY,20210101,09:59,14031.1,14032.3,14029.1,14032.15,
NIFTY,20210101,10:00,14032.35,14033.3,14031.1,14032.4,
NIFTY,20210101,10:01,14032.5,14033.2,14026.8,14026.8,
NIFTY,20210101,10:02,14027.4,14028.95,14026.8,14026.95,
NIFTY,20210101,10:03,14027.35,14028.65,14026.7,14027.8,
NIFTY,20210101,10:04,14027.45,14028.5,14025.3,14025.95,
NIFTY,20210101,10:05,14025.75,14026.3,14024.1,14026.05,
NIFTY,20210101,10:06,14027,14027.45,14024.8,14024.8,
NIFTY,20210101,10:07,14025.35,14025.35,14019,14019.95,
NIFTY,20210101,10:08,14019.5,14020.7,14016.3,14016.65,
NIFTY,20210101,10:09,14016.7,14020.7,14016.7,14019.8,
NIFTY,20210101,10:10,14019.55,14021.55,14018.5,14020.65,
NIFTY,20210101,10:11,14020.05,14022.95,14019.65,14020.85,
NIFTY,20210101,10:12,14020.95,14026.35,14020.65,14025.95,
NIFTY,20210101,10:13,14025.6,14027.85,14024.25,14025.6,
NIFTY,20210101,10:14,14024.3,14027.1,14024.3,14025.8,
NIFTY,20210101,10:15,14025.05,14026.85,14024.5,14025.25,
NIFTY,20210101,10:16,14024.6,14026.1,14022.6,14023.8,
NIFTY,20210101,10:17,14024,14024.8,14022.8,14024.45,
NIFTY,20210101,10:18,14024.95,14026,14023.65,14025.4,
NIFTY,20210101,10:19,14025.35,14025.95,14022.45,14023.8,
NIFTY,20210101,10:20,14023.95,14024.35,14017.6,14019.45,
NIFTY,20210101,10:21,14020.35,14022.25,14019.65,14021.9,
NIFTY,20210101,10:22,14022.15,14024.4,14021.7,14023.2,
NIFTY,20210101,10:23,14023.55,14027.5,14023.45,14027.1,
NIFTY,20210101,10:24,14025.6,14028.15,14025.6,14026.8,
NIFTY,20210101,10:25,14025.95,14027.75,14025.55,14026.8,
NIFTY,20210101,10:26,14026.2,14028.95,14026.1,14028.3,
NIFTY,20210101,10:27,14028.25,14031.9,14028.25,14031.5,
NIFTY,20210101,10:28,14031.4,14035.25,14030.65,14034.5,
NIFTY,20210101,10:29,14034.8,14036.45,14033.35,14035.55,
NIFTY,20210101,10:30,14035.6,14036.3,14032.45,14033.6,
NIFTY,20210101,10:31,14033.35,14034.7,14032.8,14033.1,
NIFTY,20210101,10:32,14032.85,14033.6,14026.95,14027.55,
NIFTY,20210101,10:33,14027.65,14028.85,14026.15,14026.9,
NIFTY,20210101,10:34,14027.2,14030.5,14026.75,14030.3,
NIFTY,20210101,10:35,14030.15,14031.55,14029.95,14030.7,
NIFTY,20210101,10:36,14029.55,14030.8,14028.2,14029.05,
NIFTY,20210101,10:37,14028.65,14029.8,14027.6,14028.7,
NIFTY,20210101,10:38,14028.4,14029.4,14026.15,14026.3,
NIFTY,20210101,10:39,14027.5,14027.9,14024.4,14024.45,
NIFTY,20210101,10:40,14024.05,14026.8,14023.1,14024.85,
NIFTY,20210101,10:41,14023.95,14026.15,14023.85,14025.1,
NIFTY,20210101,10:42,14024.9,14027.15,14024.9,14026.3,
NIFTY,20210101,10:43,14024.85,14027.1,14024.85,14026.15,
NIFTY,20210101,10:44,14025.65,14027.4,14024.75,14025.85,
NIFTY,20210101,10:45,14026.25,14030.15,14025.35,14028.9,
NIFTY,20210101,10:46,14028.35,14032.15,14027.85,14032.15,
NIFTY,20210101,10:47,14031.35,14037.1,14031.35,14034.15,
NIFTY,20210101,10:48,14033.9,14037.25,14033.5,14035.6,
NIFTY,20210101,10:49,14035.65,14036.65,14033.45,14034.4,
NIFTY,20210101,10:50,14035.05,14035.3,14027.45,14029.55,
NIFTY,20210101,10:51,14028.9,14030.15,14028,14029.35,
NIFTY,20210101,10:52,14028.55,14030.55,14028.15,14029.05,
NIFTY,20210101,10:53,14029.15,14032.4,14029.15,14031.6,
NIFTY,20210101,10:54,14031.9,14032.5,14030.6,14031.7,
NIFTY,20210101,10:55,14032.15,14032.3,14030.15,14030.4,
NIFTY,20210101,10:56,14030.2,14032.5,14029.8,14031.7,
NIFTY,20210101,10:57,14031.85,14033.2,14029.55,14030.55,
NIFTY,20210101,10:58,14031.05,14033.45,14030.1,14032.35,
NIFTY,20210101,10:59,14031.95,14033.45,14031.45,14031.55,
NIFTY,20210101,11:00,14032.1,14032.6,14025.75,14025.75,
NIFTY,20210101,11:01,14026.05,14029.05,14026,14028.05,
NIFTY,20210101,11:02,14028,14029.55,14027.2,14028.8,
NIFTY,20210101,11:03,14028.25,14030.55,14027.95,14028.4,
NIFTY,20210101,11:04,14029.35,14030.2,14027.35,14027.9,
NIFTY,20210101,11:05,14027.95,14028.95,14026.35,14027.25,
NIFTY,20210101,11:06,14026.95,14030.85,14026.95,14030.1,
NIFTY,20210101,11:07,14030.7,14031.9,14029.45,14030.05,
NIFTY,20210101,11:08,14030.9,14031.45,14027.85,14028,
NIFTY,20210101,11:09,14028.6,14028.6,14024.7,14026.05,
NIFTY,20210101,11:10,14025.55,14026.25,14023.95,14024.25,
NIFTY,20210101,11:11,14024.15,14025.85,14023.6,14024.95,
NIFTY,20210101,11:12,14024.55,14026.35,14023.65,14025.75,
NIFTY,20210101,11:13,14025.35,14026.25,14024.2,14025.5,
NIFTY,20210101,11:14,14024.75,14026.6,14024.6,14026.2,
NIFTY,20210101,11:15,14026,14029.35,14025.9,14029.35,
NIFTY,20210101,11:16,14028.9,14031.7,14028.9,14030.4,
NIFTY,20210101,11:17,14030.95,14033.95,14030.05,14033.7,
NIFTY,20210101,11:18,14032.75,14033.9,14030.55,14032.45,
NIFTY,20210101,11:19,14032.95,14033.6,14030.25,14033.2,
NIFTY,20210101,11:20,14033.15,14033.95,14031.65,14032.1,
NIFTY,20210101,11:21,14031.75,14032.45,14027.3,14027.75,
NIFTY,20210101,11:22,14028.2,14029.65,14026.95,14026.95,
NIFTY,20210101,11:23,14027.5,14029.4,14026.15,14028.95,
NIFTY,20210101,11:24,14028.5,14030.9,14028,14029.9,
NIFTY,20210101,11:25,14029.5,14030.85,14028.65,14029.2,
NIFTY,20210101,11:26,14028.7,14030.8,14028.1,14030.1,
NIFTY,20210101,11:27,14030.05,14032.05,14028.65,14029.4,
NIFTY,20210101,11:28,14028.35,14031.1,14028.35,14029.75,
NIFTY,20210101,11:29,14030,14030.05,14028.95,14029.1,
NIFTY,20210101,11:30,14029.25,14031.15,14028.85,14030.45,
NIFTY,20210101,11:31,14030.7,14032.6,14029.5,14031.9,
NIFTY,20210101,11:32,14032.15,14032.15,14029.35,14030,
NIFTY,20210101,11:33,14029.7,14031.75,14029.45,14030.8,
NIFTY,20210101,11:34,14031.25,14032.55,14030.55,14031.85,
NIFTY,20210101,11:35,14031.5,14032.35,14030.6,14031.75,
NIFTY,20210101,11:36,14031.15,14033.45,14030.65,14032.65,
NIFTY,20210101,11:37,14032,14033.85,14031.85,14033.45,
NIFTY,20210101,11:38,14033.15,14034.25,14031.3,14032.15,
NIFTY,20210101,11:39,14031.85,14032.35,14024,14026.8,
NIFTY,20210101,11:40,14025.5,14026.85,14023.55,14024.8,
NIFTY,20210101,11:41,14024.15,14024.7,14021.1,14021.1,
NIFTY,20210101,11:42,14021.55,14022.35,14020.3,14020.85,
NIFTY,20210101,11:43,14020.9,14022,14018.75,14019.45,
NIFTY,20210101,11:44,14019.15,14021.5,14018.75,14020.8,
NIFTY,20210101,11:45,14021.2,14021.55,14018.6,14019.55,
NIFTY,20210101,11:46,14019,14022.4,14018.7,14022.05,
NIFTY,20210101,11:47,14022.8,14025.25,14022.6,14024.75,
NIFTY,20210101,11:48,14024.5,14025.95,14021.05,14021.1,
NIFTY,20210101,11:49,14021.2,14023.5,14021.15,14022.6,
NIFTY,20210101,11:50,14022,14024.2,14021.55,14023.5,
NIFTY,20210101,11:51,14022.5,14024.6,14021.1,14022.55,
NIFTY,20210101,11:52,14022.3,14022.45,14017.2,14017.4,
NIFTY,20210101,11:53,14017.7,14018.55,14015.2,14016.15,
NIFTY,20210101,11:54,14015.9,14017.2,14015.1,14015.75,
NIFTY,20210101,11:55,14015.65,14016.65,14014.8,14016.4,
NIFTY,20210101,11:56,14016,14016.4,14012,14013,
NIFTY,20210101,11:57,14013.25,14014.05,14012.05,14013.2,
NIFTY,20210101,11:58,14012.95,14014.1,14011.95,14013.1,
NIFTY,20210101,11:59,14013,14013.55,14006,14006.8,
NIFTY,20210101,12:00,14006.35,14008.65,14005.7,14008.2,
NIFTY,20210101,12:01,14008.8,14009.95,14006.05,14008.75,
NIFTY,20210101,12:02,14008.65,14009.55,14006.2,14006.4,
NIFTY,20210101,12:03,14006.7,14008.75,14005.45,14007.05,
NIFTY,20210101,12:04,14006.5,14007.7,14004.95,14007.05,
NIFTY,20210101,12:05,14006.95,14014.75,14006.25,14013.8,
NIFTY,20210101,12:06,14011.9,14016,14011.7,14015.4,
NIFTY,20210101,12:07,14015.45,14017.15,14013.65,14014.45,
NIFTY,20210101,12:08,14013.65,14013.95,14011.75,14012.85,
NIFTY,20210101,12:09,14012.8,14015.4,14011.8,14015.05,
